name,counta,money,totalPerformances,type,theatre
"God Said ""Ha""",5,286310,22,Play,Lyceum
Godspell,37,11106035,264,Musical,Circle In The Square
Golda'S Balcony,65,9309657,493,Play,Helen Hayes
Golden Boy,11,3106647,53,Play,Belasco
Golden Child,10,828439,69,Play,Longacre
Good People,16,5925428,101,Play,Friedman
Good Vibrations,18,5511066,94,Musical,Eugene O'Neill
Gore Vidal'S The Best Man,17,5998667,121,Play,Virginia
Gore Vidal'S The Best Man '12,27,18329754,185,Play,Schoenfeld
Grace,17,6479055,108,Play,Cort
Grease,107,36713376,858,Musical,Eugene O'Neill
Grease 07,74,47473854,554,Musical,Brooks Atkinson
Grey Gardens,43,17542980,307,Musical,Walter Kerr
Guys And Dolls '09,19,10220561,121,Musical,Nederlander
Gypsy '03,61,37762532,451,Musical,Shubert
Gypsy '08,45,31430300,332,Musical,St. James
Hair,69,50570863,519,Musical,Al Hirschfeld
Hair '11,10,3453758,67,Musical,St. James
Hairspray,336,252181270,2642,Musical,Neil Simon
Hamilton,57,98459890,428,Musical,Richard Rodgers
Hamlet '09,13,10010252,72,Play,Broadhurst
Hamlet 95,15,5094936,91,Play,Belasco
Hand To God,43,12134434,311,Play,Booth
Hands On A Hardbody,8,1597428,28,Musical,Brooks Atkinson
"Harry Connick, Jr. '10",3,2620770,15,Special,Neil Simon
Harvey,12,6802810,62,Play,Studio 54
Having Our Say,37,4589010,277,Play,Booth
Heartbreak House,14,3177764,79,Play,American Airlines
Hedda Gabler 01,17,3297340,117,Play,Ambassador
Hedda Gabler 09,12,2742238,74,Play,American Airlines
Hedwig And The Angry Inch,77,50259435,507,Musical,Belasco
"Hello, Dolly!",1,323839,0,Musical,Lunt-Fontanne
Henry Iv,12,4870242,58,Play,Vivian Beaumont
High,5,449955,7,Play,Booth
High Fidelity,4,1096116,14,Musical,Imperial
High Society,22,7317557,144,Musical,St. James
Holiday,2,92284,0,Play,Circle In The Square
Holler If Ya Hear Me,7,1209478,38,Musical,Palace
Hollywood Arms,13,2043835,76,Play,Cort
Honeymoon In Vegas,20,7609536,93,Musical,Nederlander
Honour,11,1132819,57,Play,Belasco
Hot Feet,14,3766746,97,Musical,Hilton Theatre
How To Succeed In Business Without Really Trying,8,3726626,64,Musical,Richard Rodgers
How To Succeed In Business Without Really Trying '11,65,59740764,473,Musical,Al Hirschfeld
"Hugh Jackman, Back On Broadway",10,14634985,61,Special,Broadhurst
Hughie,14,2673972,56,Play,Circle In The Square
Hughie 2016,7,2023264,37,Play,Booth
I Am My Own Wife,50,8648562,360,Play,Lyceum
I'Ll Eat You Last: A Chat With Sue Mengers,13,9561477,71,Play,Booth
I'M Not Rappaport '02,9,793377,53,Play,Booth
I'M Still Here...Damn It!,11,1228086,51,Play,Booth
If You Ever Leave Me�I'M Going With You,10,1361049,53,Play,Cort
If/Then,54,39635141,401,Musical,Richard Rodgers
Il Divo - A Musical Affair,1,1308223,6,Special,Marquis
Imaginary Friends,12,2857950,76,Play,Ethel Barrymore
Impressionism,11,2776558,56,Play,Schoenfeld
In My Life,11,1557164,61,Musical,Music Box
In The Heights,152,105302946,1184,Musical,Richard Rodgers
